Stratigraphic Name,Stratno,Previous Name,Previous Name Stratno,Rank, Status ,Parent Name,Parent Stratno, Chemical Parent Name , Chemical Parent Stratno ,Top Minimum Age Name, Top Minimum Age (Ma) , Top Minimum Age Error (Ma), Top Minimum Age Method ,Base Maximum Age Name, Base Maximum Age (Ma) , Base Maximum Age Error (Ma) , Base Maximum Age Method , Minimum Thickness (m) , Maximum Thickness (m) , Type Section State , First ref as on form , Def ref as on form , Reserved by , Resdate , Approved by , Approved date ,General Comments , Lithology Description ,Primary Lithology Group, Secondary Lithology Group , Tectonic Setting , Intrusive , Granite Type
Strutton Intrusion,32783,,,"Formation, beds",Formal,,,Emu Pool Supersuite,68766,Paleoarchean,3314,13,"inferred, intrusive relationship",Paleoarchean,3463,2,"inferred, intrusive relationship",,500,WA,44229,60429,,,,,"Use of the term ""Intrusion"" in stratigraphic names is discouraged. Use of the stratigraphic term ""Intrusion"" is to remain in use in the Pilbara region only (per Conveners' agreement, AESC Perth 2008).","Metagabbro, minor metapyroxenite, serpentinite after peridotite",meta-igneous mafic intrusive,meta-igneous ultramafic intrusive,,Y,
Stubb Formation,17454,,,"Formation, beds",Formal,Tijunna Group,35323,,,Cryogenian,,,,Statherian,,,,,210,NT,28255,70968,,,,,"Originally included in the Auvergne Group, also previously included in the 'Victoria River Group' of Traves (1955) and in the 'Coolibah Formation' of Laing and Allen (1956). Unconformably overlain by Jasper Gorge Sandstone in the Victoria Basin.","Lower part is grey shale and red-brown micaceous siltstone; a succession of interbedded micaceous claystone, siltstone, minor mudstone and sandstone.",sedimentary siliciclastic,,,N,
Stubbins Formation - metadolerite 80981,80981,,,"Member, phase",Unnamed,Stubbins Formation,74592,,,Paleoproterozoic,,,inferred,Paleoproterozoic,,,inferred,,,,,,,,,,"In refID 72034. (GSWA (2016). 1:500 000 Interpreted Bedrock Geology of Western Australia, as an unnamed member of the Stubbins Formation. Granites-Tanami Orogen.  Also Subsurface unit interpreted by Songfa Liu for the basement geology of the Exploring for the Future area.","Metamorphosed dolerite sill; minor interlayered, metamorphosed feldspathic wacke, sandstone, siltstone, and mudstone",meta-igneous mafic intrusive,sedimentary siliciclastic,,Y,
Sue Group,34554,Sue Coal Measures,17491,"Group, Suite",Formal,,,,,Wuchiapingian,,,,Sakmarian,,,,,,,22820,,,,,,,"Coal-bearing siliciclastic rocks with sandstone dominating, and conglomerate/siltstone/mudstone/coal.",sedimentary siliciclastic,organic-rich rock,,N,
Sulphur Springs Group,32237,Sulphur Springs Subgroup,32222,"Group, Suite",Formal,Pilbara Supergroup,15189,,,Paleoarchean,3235,3,"isotopic, U/Pb-Pb/Pb ion probe",Paleoarchean,3270,,,3000,4000,,61266,,Van Kranendonk M.J.,9-Apr-98,,,"NORTH SHAW 1:100 000 sheet area 2755.  Age: ca. 3.24Ga. Now incorporates rocks of former Golden Cockatoo Formation (Van Kranendonk 2006). Formerly included Six Mile Creek Formation, which is now assigned to Euro Basalt. Formerly included Budjan Creek Formation, reassigned to the Soanesville Group in 2011.","Felsic to mafic volcanics and volcaniclastic rocks, chert, volcaniclastic sandstone, greywacke, shale, basalt, komatiitic basalt, amphibolite, mafic and ultramafic schist, banded iron formation, quartz-carbonate rock, siltstone.",sedimentary,igneous volcanic,,N,
Sulphur Springs Group - diorite sills,74300,,,"Formation, beds",Unnamed,Sulphur Springs Group,32237,,,Paleoarchean,,,,Paleoarchean,,,,,,,,,,,,,,Microdiorite and diorite,igneous intermediate intrusive,,,Y,
Sulphur Springs Group - metadolerite,74268,,,"Formation, beds",Informal,Sulphur Springs Group,32237,,,Paleoarchean,,,,Paleoarchean,,,,,,,,,,,,,,Metadolerite,igneous mafic intrusive,,,Y,
Sunbeam Group,33753,"Savory Group, lower""""",69964,"Group, Suite",Formal,,,,,Cryogenian,700,,inferred,Tonian,830,,biozone,,6000,,22907,22907,Hocking R.,28-Oct-99,,,Previously the older part of the Savory Group; parts of Sunbeam Group now replaced by Salvation Group. This group is lateral equivalent of of the oldest part of Officer Basin succession in the east - the Buldya Group.,"Sandstone, siltstone, conglomerate, shale, mudstone, dolomite, stromatolitic dolomite and evaporitic rocks.",sedimentary siliciclastic,sedimentary carbonate,,N,
Sunbird Formation,74207,,,"Formation, beds",Formal,Weaber Group,19643,,,Serpukhovian,,,,Visean,,,,,,WA,61542,,,,,,Top unit of Weaber Group - forms part of revision by Gorter et al (2005) - detailed lithology included.,Massive limestone with minor sandstone.,,,,N,
Supplejack Downs Sandstone,17542,,,"Formation, beds",Formal,Birrindudu Group,1735,,,Statherian,,,,Statherian,1800,,,1300,,NT,29809,45140,,,,,"Not related to Mesoproterozoic Supplejack Dolostone Member, Skull Creek Formation, Bullita Group.","Sandstone: white to pale pink, sublithic arenite, quartz arenite, conglomerate, siltstone and shale, minor volcanogenic sandstone; fine to coarse grained, variably sorted.",sedimentary siliciclastic,,,N,
Surprise Orthogneiss,75922,,,"Formation, beds",Formal,,,Minigwal Suite,75920,Neoarchean,,,,Neoarchean,2765,,,,,,66113,,,,,,May replace informal Surprise Rocks complex?,Migmatitic quartz-biotite orthogneiss.,meta-igneous,,,Y,
Survey Creek Monzogranite,22925,,,"Formation, beds",Formal,,,Paperbark Supersuite,31788,Paleoproterozoic,1850,,,Paleoproterozoic,1865,,,,,,43863,,Sheppard S.,1-Jan-95,,,east Kimberley,"Medium- to coarse-grained, porphyritic biotite-hornblende monzogranite.",igneous felsic intrusive,,,Y,
Swan Group,17573,,,"Group, Suite",Formal,,,,,Valanginian,,,,Callovian,,,,,,,41733,,,,,,Includes hydrocarbon source rocks.,,,,,N,
Swan River Formation,69788,,,"Formation, beds",Formal,,,,,Late Pleistocene,,,,Late Pleistocene,,,,,26,,63745,63745,"Gozzard, Bob (DOIR, WA)",2-Nov-05,,,For Map sheet 2034; nearest town Perth.,"Interbedded alluvial sands, silts and clays.",,,,N,
Sweeney Mia Formation,24004,,,"Formation, beds",Formal,,,,,Emsian,,,,Pragian,,,,,192,WA,40617,40617,"R.M.Hocking, H.T.Moors",23-May-83,,,"Age: Defined as Late Silurian (1985) but shown as Early Devonian in 1994, 1998. Includes Frasnian fish scales. Previously of Kalbarri Group, but this term dropped in 1994.","Oxidised carbonate and siliciclastic rocks with minor evaporite beds, deposited in a reducing shallow-lagoonal to supratidal environment.",sedimentary carbonate,sedimentary siliciclastic,,N,
Sweetwaters Well Dolomite,81551,Sweetwaters Well Member,32536,"Formation, beds",Formal,Tooloo Group,79474,,,Orosirian,1890,,"inferred, overlying unit",Orosirian,,,,,,,71484,,,,,,upgrading of Member to Formation status. Datig os form tuff layers near top of unit.,"Sandstone, dolomite (locally stromatolitic), siltstone, shale, minor conglomerate and limestone. Minor micro-tuff layers.",sedimentary carbonate,sedimentary siliciclastic,,N,
Swift Monzogranite,30666,,,"Formation, beds",Formal,,,Paperbark Supersuite,31788,Orosirian,1850,,,Orosirian,1865,,,,,,43281,,,,,,Different from Swift Formation (Swift Beds) of NT.,,,,,Y,
Swincer Dolerite,75246,,,"Formation, beds",Formal,,,,,Neoarchean,2755,5,,Mesoarchean,2812,5,"isotopic, U/Pb-Pb/Pb ion probe",,,,66116,,Mark Pawley (GSWA),10-Jun-09,,,"For use on map sheet SH 51-3; nearest town is Cosmo Newbury. Forms a series of medium-grained mafic sills within the basalts of the Mount Sefton greenstone belt.  The sills are laterally extensive and locally exhibit some internal differentiation with more leucocratic rocks preserved near tops of sills. Dated at 2812 +/-5 Ma (GSWA SHRIMP age). To be published in several GSWA publications in near future, including 1:100K maps and geochronological reports.",Dolerite; minor basalt or gabbro components; metamorphosed; gabbro; minor pyroxenite or quartz gabbro components; metamorphosed.,meta-igneous mafic intrusive,,,Y,
Sydney Heads Pass Conglomerate,17597,,,"Formation, beds",Formal,,,,,Proterozoic,,,,Proterozoic,,,,,30,,37460,,,,,,,,,,,N,
Syenite Camp Granodiorite,78625,,,"Formation, beds",Reserved,,,Syenite Camp Suite,31897,Paleoproterozoic,,,,Paleoproterozoic,,,,,,,,,"Hollis, J.",5-Dec-13,,,Kimberley Region.,"Medium- to coarse-grained, variably porphyritic biotite-hornblende metagranodiorite and metamonzogranite; massive and foliated",meta-igneous felsic intrusive,,,Y,
Syenite Camp Suite,31897,,,"Group, Suite",Formal,,,Sally Downs Supersuite,31785,Orosirian,,,,Orosirian,1820,,,,,,50437,,,,,,"East Kimberly Region. See also Syenite Camp suite. This Suite includes Corrara Granite, Grimpy Monzogranite, Mount Fairbairn Monzogranite, Syenite Camp Monzogranite[advice from GSWA Dec 2013].","Medium- to coarse-grained, even-textured or weakly porphyritic biotite granodiorite and tonalite, with subordinate biotite monzogranite; minor hornblende-bearing granodiorite and monzogranite; mafic enclaves.",igneous felsic intrusive,,,Y,
Sylvania Dyke Swarm,34041,,,"Formation, beds",Informal,,,,,Archean,,,,Archean,,,,,,,22475,,,,,,,,,,,Y,
Tabba Tabba Leucogranite,35246,Tabba Tabba Adamellite,17616,"Formation, beds",Formal,,,Split Rock Supersuite,68672,Archean,,,,Archean,2940,,,,,,24110,,"Smithies H., Champion D.",22-Feb-00,,,Wallaringa and Wodgina 1:100 000 sheets. Formerly included in the Pippingarra Granitoid Complex.  Incorrectly grouped into Sisters Supersuite in GSWA Record 2006/15 (p11 Table 2).,"Biotite(-muscovite) granite; seriate to equigranular; fine- to medium-grained, massive to weakly foliated and metamorphosed.",igneous felsic intrusive,,,Y,
Table Hill Volcanics,17624,,,"Formation, beds",Formal,Kalkarindji Volcanic Group,69564,Kalkarindji Suite,75724,Cambrian,500,7,"isotopic, K/Ar",Cambrian,505,3,"isotopic, Ar/Ar",,100,WA,34417,45149,,,,,"Previous Officer Volcanics  and Kulyong Formation included in Table Hill Volcanics in 2009.  Age: 500+/-7Ma (K-Ar, Veevers 2000); 504+/18Ma (Stern, et al. 2005).  Whole rock Rb/Sr age of 575+/-40 Ma (Compston, 1974) is likely too old? K-Ar age of 484 +/- 4 Ma reflects alteration. Included in the Kalkarindji Suite in Oct 2009.","Tholeiitic basalt, dolerite, friable fine grained sandstone.",igneous mafic volcanic,sedimentary siliciclastic,,N,
Table Top Formation,32210,,,"Formation, beds",Formal,Coonterunah Subgroup,69684,,,Paleoarchean,3515,,"inferred, overlying unit",Paleoarchean,,,,,2500,,61266,,Van Kranendonk M.,27-Jan-98,,,NORTH SHAW 1:100 000 sheet area 2755. Within the Warrawoona Group (Pilbara Supergroup). This is the oldest recognized formation of Pilbara Supergroup. See also misspelt Tabletop Formation.,Amphibolite; metamorphosed mafic volcanic and intrusive rocks; locally schistose; metamorphosed jaspilitic chert.,meta-igneous mafic volcanic,,,N,
Table Well Monzogranite,80128,Table Well granite,41132,"Formation, beds",Informal,,,,,Neoarchean,,,inferred,Neoarchean,,,inferred,,,,71212,,,,,,,"Meso-melanocratic, biotite rich granodiorites to leucocratic K-feldspar rich granites.",igneous felsic intrusive,,,Y,
Tabletop granitoid complex,36912,,,"Group, Suite",Informal,,,,,Mesoproterozoic,,,,Mesoproterozoic,,,,,,,23742,,,,,,Paterson Orogen.,,,,,Y,
Taincrow Monzogranite,74837,,,"Formation, beds",Formal,,,Walganna Suite,74845,Neoarchean,,,,Neoarchean,,,,,,,64891,,"Van Kranendonk, M. (GSWA)",17-Sep-08,,,Geological province: Murchison Domain.  Age: c.2625Ma. Part of the Bald Rock Supersuite.,Undeformed monzogranite to syenogranite; post-tectonic,igneous felsic intrusive,,,Y,
Talbot Well Formation,17668,Talbot Well Beds,25509,"Formation, beds",Formal,Birrindudu Group,1735,,,Statherian,,,"inferred, overlying unit",Statherian,,,"inferred, underlying unit",300,500,NT,29804,45140,,,,,"Latest age information (Crispe et al, 2007) suggests Birrindudu Group ranges from 1735 to 1640 Ma.  Talbot Well Formation is the middle unit of this group.","Stromatolitic chert, locally massive or brecciated and poorly bedded; sublithic sandstone, quartz sandstone, laminated siltstone, shale and minor limestone.",sedimentary non-carbonate chemical or biochemical,sedimentary siliciclastic,,N,
Talga Talga Subgroup,17680,,,Subgroup,Formal,Warrawoona Group,19508,,,Paleoarchean,3477,,,Paleoarchean,3490,,,,5000,WA,31853,31853,,,,,"Defined 1975. See also Talga-Talga Subgroup. Within the Pilbara Supergroup. Dresser Formation and Mount Ada Basalt, formerly of this subgroup, now assigned to the new Coongan Subgroup, based on new age data.","Amphibolite, carbonated-altered basalt, chert, mafic schist, ultramafic schist, komatiitic basalt, banded iron formation, felsic volcanic rocks, siliciclastic rocks, serpentinised peridotite, metadunite, dolerite, interlayered amphibolite and granite.",igneous mafic volcanic,meta-igneous ultramafic,,N,
Talisman Member,17696,,,"Member, phase",Formal,Forestier Claystone,23599,,,Berriasian,,,,Berriasian,,,,,,,42598,,,,,,,,,,,N,
Taliwanya Formation,31875,,,"Formation, beds",Formal,Throssell Range Group,70719,,,Cryogenian,,,,Cryogenian,,,,170,,,43849,,,,,,Paterson Orogen.,"Polymictic conglomerate and arkosic sandstone with rare heavy-mineral bands; thin interbeds of fine-grained lithic wacke, siltstone and shale.",feldspar- or lithic-rich arenite to rudite,sedimentary siliciclastic,,N,
Tallering Formation,26923,,,"Formation, beds",Formal,,,,,Archean,,,,Archean,,,,,,,29688,,,,,,,,,,,N,
Tamala Limestone,17719,Tamala Eolianite,17716,"Formation, beds",Formal,Kwinana Group,25141,,,Late Pleistocene,0.117,,isotopic U-series,Middle Pleistocene,0.133,,isotopic U-series,,115,WA,32645,40367,,,,,"Defined by V.Semeniuk (1983). Also formerly the Coastal Limestone. C14 dating: >37 000 years BP. U-series thermal ionisation Mass spectrometer technique age: 0.117 - 0.133 Ma. Apparently intended to be superseded by Tims Thicket Limestone, Myalup Sand and Kooallup Limestone (Semeniuk, 1995: see RefID 62020) but subsequent publications appear not to have accepted this.","Unconsolidated to strongly lithified calcarenite with calcrete/kankar soils; aeolian. Locally quartzose, feldspathic, or heavy-mineral-bearing. Large-scale eolian cross-bedding.",regolith,,,N,
Tambina Granitic Complex,74681,,,"Group, Suite",Formal,,,,,,,,,,,,,,,,64580,,,,,,Also informally referred to as the Tambina greenstone complex.,Undivided granitoid rock ; well foliated.,,,,N,
Tambina Supersuite,68742,,,Supergroup,Formal,,,,,Paleoarchean,3420,,,Paleoarchean,3450,,,,,,61253,,"Van Kranendonk, M.",13-Apr-05,,,For the TAMBOURAH map sheet; nearest town is Marble Bar.  Age: 3435-3420Ma; age also given as 3.44 to 3.42Ga.  East Pilbara Terrane of Pilbara Craton.,"Metamorphosed felsic intrusives; granodiorite, granite, monzogranite, syenogranite, quartz diorite, tonalitic orthogneiss, leucogranite, pegmatite, tonalite, schlieric leucogranite and diatexite",meta-igneous felsic intrusive,high grade metamorphic rock,,Y,
Tambourah Monzogranite,39604,Tambourah Granodiorite,17748,"Formation, beds",Formal,,,Split Rock Supersuite,68672,Archean,2930,,,Archean,2945,,,,,,24532,,,,,,"Note incorrect grouping in the Tambina Supersuite on page 7 of GSWA Record 2006/15. Shown as a unit in the Split Rock Supersuite in the Marble Bar 3rd edition map (RefID 66108), apparently moving it out of the previous Sisters Supersuite.  Sheets and patches are included in Petroglyph Gneiss","Pegmatite, syenogranite, granodiorite, monzogranite, leucogranite, granitoid gneiss, tonalitic orthogneiss",igneous felsic intrusive,high grade metamorphic rock,,Y,
Tanami Group,17763,Tanami Complex,17761,"Group, Suite",Formal,,,,,Orosirian,1821,,"inferred, intrusive relationship",Orosirian,1865,,,,,NT,45112,,,,,,"Age: ~1880-<1835Ma.  Intruded by Repulse Aplite, Water Tower Tonalite. See also UNIT DEFINITION (2007) for age details. The names Tanami Group and Tanami Complex appear to be used interchangeably in some references; however, Tanami Group has now superseded Tanami Complex. Group intruded by doleritic sills and deformed by the ~1830Ma Tanami Event. Stubbins Formation added to Tanami Group in 2015 (GSWA 1:100 000 maps, Kearney 4557 and Lewis 4657). Consitituents probably all defined in NT?","Schistose to phyllitic greywacke, arenite, siltstone, shale and conglomerate; chert, tuff, basalt, acid porphyry, quartzite, hornfels, arenite, amphibolite.",sedimentary siliciclastic,metasedimentary siliciclastic,continental backarc basin,N,
Tandalgoo Formation,17769,Tandalgoo Sandstone,27580,"Formation, beds",Formal,,,,,Eifelian,,,,Pragian,,,,,400,,24061,,,,,,,"Includes porous and permeable, pale brown, slightly ferruginous, fine- to medium-grained sandstones with minor interbeds of ferruginous dolomitic siltstone.",sedimentary siliciclastic,,,N,
Tangadee Rhyolite,37095,,,"Member, phase",Formal,Kiangi Creek Formation,27174,,,Mesoproterozoic,1235,19,"isotopic, U/Pb-Pb/Pb ion probe",Statherian,1638,14,"isotopic, U/Pb-Pb/Pb ion probe",,,,23744,,,,,,Geological Province: Edmund Basin. This unit appears to have been downgraded from a formation to a member of the Kiangi Creek Formation in ~2010. See also Tangadee Rhyolite Member.,Coherent rhyolite and lapilli-bearing felsic volcaniclastic rocks.,,,,N,
Tangadee Rhyolite Member,80325,Tangadee Rhyolite,37095,"Member, phase",Informal,Kiangi Creek Formation,27174,,,Calymmian,1517,,inferred,Calymmian,1590,,inferred,,,,70814,,,,,,Clear statement of rank of Tangadee Rhyolite.,,,,,N,
Tanguin Member,36895,,,"Member, phase",Formal,Hardey Formation,8075,,,Archean,,,,Archean,,,,,,,23746,,,,,,,Mixed felsic and mafic lavas (rhyolite and basalt) and tuffaceous sedimentary rocks.,igneous volcanic,,,N,
Tank 44 Gneiss,81035,,,"Formation, beds",Informal,,,,,Mesoproterozoic,1201,5,isotopic,Paleoproterozoic,1800,,,,,,72034,,,,,,"Biranup Zone, Kepa Kurl Booya Province, Albany-Fraser Orogen.","Interlayered mafic and quartzofeldspathic gneiss with abundant leucosomes, locally with garnet.",high grade metamorphic rock,,,U,
Tanmurra Formation,17793,Medusa Beds,11605,"Formation, beds",Formal,Weaber Group,19643,,,Visean,,,"inferred, overlying unit",Visean,,,"inferred, underlying unit",,301,WA,48635,61542,,,,,Mory's original shelf carbonates unit (1991) is redefined with the upper 26m placed separately in the Sunbird Formation (Gorter et al 2005). See also Tanmurra Group. May be equivalent to Point Spring Sandstone and/or Burvill Formation.  Age: ~328-~322Ma.,"Calcareous and dolomitic sandstone with minor limestone, siltstone and shale.",sedimentary carbonate,sedimentary siliciclastic,,N,
Tantabiddi Member,26162,,,"Member, phase",Formal,Bundera Calcarenite,25709,,,Holocene,,,,Pleistocene,,,,,20,WA,33593,33593,,,,,,,,,,N,
Tantalite Hill pegmatite,73784,,,"Formation, beds",Informal,,,,,,,,,,,,,,,,50542,,,,,,"Informal name. Consists of two main flat-lying pegmatite bodies, the southern body has a thickness of 5m and the northern body thickness is 25m.",,,,,N,
Tarakalu Member,32533,,,"Member, phase",Formal,Napier Formation,27212,,,Famennian,,,,Famennian,,,,,,,24371,,Playford P.,15-Jun-98,,,,"Medium-grained quartz-feldspar sandstone; locally calcareous with interbeds of siltstone, calcarenite and breccia; with some allochthonous blocks of reef limestone.",feldspar- or lithic-rich arenite to rudite,,,N,
Tarcunyah Group,31872,,,"Group, Suite",Formal,,,,,Neoproterozoic,825,,"inferred, biostratigraphic correlation",Neoproterozoic,850,,,4300,6000,,44111,23590,,,,,"Formerly included in Yeneena Supergroup, but not according to Rudall 1998, Nullagine 2007 1:250k maps. Some references give broad maximum age estimates from detrital zircon data.","Interbedded quartz sandstone, quartz pebble conglomerate, micaceous siltstone and shale, minor dolomite.",sedimentary siliciclastic,sedimentary carbonate,,N,
Tarlwa Pool Tonalite,68500,,,"Formation, beds",Formal,,,Cleland Supersuite,68665,Archean,3236,3,,Archean,3236,3,,,,,64174,63441,"Hickman, A.  (GSWA)",30-Mar-05,"Hocking, R.",3-May-06,"New name added in nomenclatural revision in GSWA Record 2006/15 (Van Kranendonk). Also, to be used on PINDERI HILLS map sheet; nearest town Karratha. Age: 3236+/-3Ma.",Foliated hornblende-biotite tonalite consisting of sericitised plagioclase with quartz and biotite.,igneous felsic intrusive,,,N,
Tarmoola Granodiorite,39344,,,"Formation, beds",Formal,,,,,,,,,,,,,,,,24091,,,,,,,,,,,Y,
Tarraji Microgranite,17865,,,"Formation, beds",Formal,,,Paperbark Supersuite,31788,Paleoproterozoic,1850,,,Paleoproterozoic,1865,,,,,,30898,,,,,,,"Porphyritic biotite microgranite and microgranodiorite; phenocrysts of K-feldspar, biotite and quartz.",igneous felsic intrusive,,,Y,
Tarrara Formation,17868,,,"Formation, beds",Formal,Carlton Group,3629,,,Middle Cambrian,,,,Middle Cambrian,,,,,,,45038,48886,,,,,Defined 1969. Defn on Tech File SD/52-14.,Siltstone; minor sandstone and limestone.,sedimentary siliciclastic,sedimentary carbonate,,N,
Taurus Gabbro,31155,,,"Formation, beds",Formal,,,,,,,,,,,,,,,,43496,,,,,,,,,,,Y,
Tawallah Group,17902,,,"Group, Suite",Formal,,,,,Statherian,1700,,inferred,Statherian,1790,,inferred,,6000,NT,44306,45162,,,,,"Basal age is poorly constrained from age of unconformably underlying Scrutton Volcanics (McArthur Basin tectonostrat map, Rawlings, 2001). Seems to be divided into upper and lower parts in Geology of Queensland 2013, p56, 58. Includes Wire Creek Sandstone, with  a maximum depositional age of 1847+/-13 Ma. Only other age given is maximum depositional age of 1843+/-4 Ma for Westmoreland Conglomerate.","Conglomerate, sandstone, greywacke, dolostone; basalt, dolerite, rhyolite, rhyodacite, dacite, trachyte, microgranite.",sedimentary siliciclastic,igneous volcanic,,N,
Taylor Lookout Granite,68889,,,"Formation, beds",Formal,,,,,Paleoproterozoic,1788,8,,Paleoproterozoic,1788,8,,,,,61056,,,,,,,,,,,Y,
Tching Granite,31773,,,"Formation, beds",Formal,,,,,Archean,,,,Archean,2680,,,,,,43835,,,,,,,Heterogeneous monzogranite with gneissic inclusions and 2965 Ma zircon xenocrysts; prograde amphibolite grade metamorphism.,igneous felsic intrusive,,,Y,
Tchintaby Dolomite Member,24017,,,"Member, phase",Formal,,,,,Mesoproterozoic,,,,Mesoproterozoic,,,,,,WA,40088,40089,"A.T.Brakel, P.C.Muhling",24-Jun-77,,,,,,,,N,
Tchukardine Formation,17910,,,"Formation, beds",Formal,Disappointment Group,33754,,,Ediacaran,,,,Ediacaran,600,,,700,,,42708,,,,,,Previously in Savory Sub-Basin?,"Medium- to coarse-grained sandstone, quartz wacke, siltstone and shale; minor conglomerate.",sedimentary siliciclastic,argillaceous detrital sediment,,N,
Teague Granite,40435,,,"Formation, beds",Formal,,,,,Paleoproterozoic,,,,Archean,2648,8,"isotopic, U/Pb",,,,24578,,,,,,,"Leucocratic quartz-albite-orthoclase granite, locally mylonitised, brecciated and silicified, with greenstone xenoliths; syenite group.",igneous felsic intrusive,,,Y,
Tean Formation,25521,,,"Formation, beds",Formal,Louisa Downs Group,10676,,,Ediacaran,,,,Cryogenian,,,,,120,WA,44397,48927,,,,,In the Louisa Basin.  Age: <610Ma.,"Mainly fine- to medium-grained feldspathic sandstone and quartz wacke, interbedded with conglomerate, fine- to medium-grained quartz sandstone, and laminated siltstone and mudstone; minor dolomite",sedimentary siliciclastic,feldspar- or lithic-rich arenite to rudite,,N,
Telegootherra Monzogranite,74838,,,"Formation, beds",Formal,,,Walganna Suite,74845,Neoarchean,,,,Neoarchean,2623,9,"isotopic, U/Pb-Pb/Pb ion probe",,,,64891,,"Van Kranendonk, M. (GSWA)",17-Sep-08,,,Geological province: Murchison Domain.  Age: c. 2625Ma. Part of the Bald Rock Supersuite.,"Monzogranite to syenogranite; undeformed, but with common igneous flow fabrics.",igneous felsic intrusive,,,Y,
Telfer Granite,40181,Telfer River granite,30625,"Formation, beds",Informal,,,,,Neoproterozoic,,,,Neoproterozoic,625,,"isotopic, U/Pb-Pb/Pb ion probe",,,,24594,,,,,,Of the central Paterson Orogen.,,,,,Y,
Telfer Member,36883,Telfer Formation,24021,"Member, phase",Formal,Malu Formation,11133,,,Neoproterozoic,,,,Neoproterozoic,,,,,600,,23414,,,,,,At top of Malu Formation. Hosts Telfer gold mineralisation.,"Fine to medium grained quartz sandstone interbedded with clayey sandstone, siltstone and shale, pyritic quartzite, and minor carbonate rock",sedimentary siliciclastic,sedimentary carbonate,,N,
Tern Formation,67988,Tern Member,17978,"Formation, beds",Formal,Hyland Bay Subgroup,77685,,,Changhsingian,,,,Wuchiapingian,,,,,,,13242,,,,,,Presented in 'defined' format. Supersedes Tern Member (Hyland Bay Fm). Of Hyland Bay Sub-group (Kinmore Gp).,"Seaward transition from coarser clastics to shales. Interbedded claystones, siltstones and fossiliferous shales, coarsening upwards into bioturbated sandstones, calcarenites",sedimentary siliciclastic,,,N,
Teronis Member,25524,Teronis member,17983,"Member, phase",Formal,Elgee Siltstone,6057,,,Paleoproterozoic,,,,Paleoproterozoic,,,,,140,,44366,,,,,,Defn on Tech File E/52-2. Age: >1790Ma.,"Stromatolitic dolostone, sandy dolostone, oolitic dolostone, mudstone, micaceous siltstone, and fine-grained sandstone.",sedimentary carbonate,sedimentary siliciclastic,,N,
Tetlow Granite,74145,,,"Formation, beds",Formal,,,Durlacher Supersuite,37648,Statherian,,,,Statherian,1663,5,,,,,68521,,"Sheppard, S. (GSWA)",12-Feb-08,,,"For use on map sheet 2148; nearest town is Gascoyne Junction. Age: c.1665Ma. To be published, mid to late 2008 on YINNETHARRA 1:100K map sheet, 1st ed. in next release of GSWA's West Capricorn orogen GIS package. Age: 1663 +/- 5 Ma. Regionally metamorphosed c.1280 Ma.","Strongly tectonised lenses of  metagranite within foliated, coarse-gr., porphyritic metamonzogranite of Davey Well Granite.Comprises metamorph'd aegerine-augite- or hornblende-bearing qtz diorite + minor tonalite. With scattered inclusions of amphibolite",meta-igneous felsic intrusive,,,Y,
Teutonic Bore Complex,40778,,,"Group, Suite",Formal,,,,,Neoarchean,2692,4,"isotopic, U/Pb",Neoarchean,2692,4,"isotopic, U/Pb",,,,24494,,,,,,,Andesite and pillow basalt interbedded with thick beds of silicic volcaniclastic rocks and rhyolite lava.,igneous felsic-intermediate volcanic,igneous mafic volcanic,,N,
Teutonic Bore Formation,78758,Teutonic Bore Complex,40778,"Formation, beds",Reserved,Gindalbie Group,7247,,,,,,,,,,,,,,,,"Patison, N. (GSWA)",26-Feb-14,,,"This name reserved to replace existing Teutonic Bore Complex. Map Sheet SH51-1, 3141, WEEBO.  Nearest Town = Leonora. Brief description = Rhyolitic to andesitic volcanic rocks; coeval basalt and dolerite. To be published: GSWA Explanatory Notes Database.",,,,,N,
Texas Downs Formation,30609,,,"Formation, beds",Formal,,,,,Paleoproterozoic,,,,Orosirian,1800,,,,1000,,43853,,Thorne A.M.,2-Dec-96,,,"Of Tyler et al (1997b), assigned to Kimberley Group by Blake (1997). TURKEY CREEK, BOW 1:100 000 sheet areas, east Kimberley. 1800 Ma. Includes beds formerly mapped as Red Rock Beds or Mount Parker Sandstone. Age updated by I.Sweet.","Fine- to coarse-grained lithic quartz sandstone; pebbly sandstone; conglomerate, siltstone and mudstone; basalt and basaltic breccia",sedimentary siliciclastic,igneous mafic volcanic,,N,
Texas Downs Formation - basalt,74493,,,"Member, phase",Informal,Texas Downs Formation,30609,,,Statherian,,,,Orosirian,,,,,,,,,,,,,"Published in Surface Geology of Australia, 1:1,000,000 scale - Western Australia","Massive to amygdaloidal basalt flows and basaltic breccia, dolerite, minor sandstone, siltstone, and mudstone",igneous mafic volcanic,sedimentary siliciclastic,,N,
Thaduna Formation,18018,Thaduna Greywacke,27910,"Formation, beds",Formal,Mooloogool Group,22371,,,Paleoproterozoic,,,,Paleoproterozoic,2170,,"inferred, underlying unit",,5000,,42730,65419,,,,,,"Rift fill conglomerates, megabreccias and turbidites. Predominantly lithic sandstone, quartz wacke and intercalated siltstone and shale and subordinate dolomite.",sedimentary siliciclastic,sedimentary carbonate,,N,
